datetime,total_assets,cash,number_of_trades,number_of_winners,sum_of_winners,sum_of_losers
2024-04-22,970067.9484800001,970067.9484800001,2,0,0.0,24918.963280000025
2024-04-23,966005.3060800002,101613.30608000024,0,0,0.0,0.0
2024-04-24,983964.5060800003,101613.30608000024,0,0,0.0,0.0
2024-04-25,975776.9060800003,101613.30608000024,0,0,0.0,0.0
2024-04-26,976618.3060800002,101613.30608000024,0,0,0.0,0.0
2024-05-02,984662.5060800002,101613.30608000024,0,0,0.0,0.0
2024-05-03,992175.3060800002,101613.30608000024,0,0,0.0,0.0
2024-05-06,998289.5060800002,101613.30608000024,0,0,0.0,0.0
2024-05-07,996164.3060800002,101613.30608000024,0,0,0.0,0.0
2024-05-08,992528.7060800003,101613.30608000024,0,0,0.0,0.0
2024-05-09,996599.5060800002,101613.30608000024,0,0,0.0,0.0
2024-05-10,1005304.1060800003,101613.30608000024,0,0,0.0,0.0
2024-05-13,1007444.5060800002,101613.30608000024,0,0,0.0,0.0
2024-05-14,1010088.5060800002,101613.30608000024,0,0,0.0,0.0
2024-05-15,1010786.7060800001,101613.30608000024,0,0,0.0,0.0
2024-05-16,1024473.5060800002,101613.30608000024,0,0,0.0,0.0
2024-05-17,1022558.3060800002,101613.30608000024,0,0,0.0,0.0
2024-05-20,1023013.8735600002,1023013.8735600002,3,3,52945.925080000015,0.0
2024-05-21,1018730.0153200002,107270.81532000034,0,0,0.0,0.0
2024-05-22,1014989.7153200002,107270.81532000034,0,0,0.0,0.0
2024-05-23,1023332.9153200004,107270.81532000034,0,0,0.0,0.0
2024-05-24,1009931.4153200004,107270.81532000034,0,0,0.0,0.0
2024-05-27,1017065.0153200002,107270.81532000034,0,0,0.0,0.0
2024-05-28,1031049.3153200003,107270.81532000034,0,0,0.0,0.0
2024-05-29,1023545.7153200002,107270.81532000034,0,0,0.0,0.0
2024-05-30,1021610.0153200002,107270.81532000034,0,0,0.0,0.0
2024-05-31,1025977.1153200003,107270.81532000034,0,0,0.0,0.0
2024-06-03,1044490.5153200002,107270.81532000034,0,0,0.0,0.0
2024-06-04,1052688.4153200001,107270.81532000034,0,0,0.0,0.0
2024-06-05,1068454.0153200002,107270.81532000034,0,0,0.0,0.0
2024-06-06,1068680.7153200002,107270.81532000034,0,0,0.0,0.0
2024-06-07,1074255.7153200004,107270.81532000034,0,0,0.0,0.0
2024-06-10,1068070.1153200003,107270.81532000034,0,0,0.0,0.0
2024-06-11,1059327.7153200002,107270.81532000034,0,0,0.0,0.0
2024-06-12,1069377.6153200003,107270.81532000034,0,0,0.0,0.0
2024-06-13,1092951.6153200003,107270.81532000034,0,0,0.0,0.0
2024-06-14,1112696.5153200002,107270.81532000034,0,0,0.0,0.0
2024-06-17,1116917.2153200002,107270.81532000034,0,0,0.0,0.0
2024-06-18,1121481.5153200002,107270.81532000034,0,0,0.0,0.0
2024-06-19,1122851.7153200002,107270.81532000034,0,0,0.0,0.0
2024-06-20,1115479.7567900002,1115479.7567900002,3,3,92465.88323000004,0.0
2024-06-21,1110809.2072250003,117075.2572250003,0,0,0.0,0.0
2024-06-24,1106718.2572250003,117075.2572250003,0,0,0.0,0.0
2024-06-25,1099557.2072250003,117075.2572250003,0,0,0.0,0.0
2024-06-26,1098801.5572250003,117075.2572250003,0,0,0.0,0.0
2024-06-27,1094421.4072250002,117075.2572250003,0,0,0.0,0.0
2024-06-28,1095519.9572250003,117075.2572250003,0,0,0.0,0.0
2024-07-01,1098336.2572250003,117075.2572250003,0,0,0.0,0.0
2024-07-02,1106856.2072250003,117075.2572250003,0,0,0.0,0.0
2024-07-03,1104606.6072250004,117075.2572250003,0,0,0.0,0.0
2024-07-04,1102974.6072250002,117075.2572250003,0,0,0.0,0.0
2024-07-05,1105448.2572250003,117075.2572250003,0,0,0.0,0.0
2024-07-08,1114001.6072250002,117075.2572250003,0,0,0.0,0.0
2024-07-09,1094183.7572250003,117075.2572250003,0,0,0.0,0.0
2024-07-10,1086695.0072250003,117075.2572250003,0,0,0.0,0.0
2024-07-11,1086866.2072250003,117075.2572250003,0,0,0.0,0.0
2024-07-12,1086402.3572250004,117075.2572250003,0,0,0.0,0.0
2024-07-15,1083980.5072250003,117075.2572250003,0,0,0.0,0.0
2024-07-16,1085784.4572250003,117075.2572250003,0,0,0.0,0.0
2024-07-17,1086179.7572250003,117075.2572250003,0,0,0.0,0.0
2024-07-18,1085080.5572250003,117075.2572250003,0,0,0.0,0.0
2024-07-19,1090800.8572250004,117075.2572250003,0,0,0.0,0.0
2024-07-22,1078804.0370500002,1078804.0370500002,3,0,0.0,36675.71973999991
2024-07-23,1074287.2693700003,113272.86937000026,0,0,0.0,0.0
2024-07-24,1075432.3693700002,113272.86937000026,0,0,0.0,0.0
2024-07-25,1066926.5693700004,113272.86937000026,0,0,0.0,0.0
2024-07-26,1073943.6693700003,113272.86937000026,0,0,0.0,0.0
2024-07-29,1075168.26937,113272.86937000026,0,0,0.0,0.0
2024-07-30,1070340.1693700003,113272.86937000026,0,0,0.0,0.0
2024-07-31,1072965.1693700003,113272.86937000026,0,0,0.0,0.0
2024-08-01,1050265.0193700003,113272.86937000026,0,0,0.0,0.0
2024-08-02,1051759.6693700003,113272.86937000026,0,0,0.0,0.0
2024-08-05,1021278.8693700002,113272.86937000026,0,0,0.0,0.0
2024-08-06,1046916.7693700001,113272.86937000026,0,0,0.0,0.0
2024-08-07,1047352.7693700001,113272.86937000026,0,0,0.0,0.0
2024-08-08,1042619.6193700002,113272.86937000026,0,0,0.0,0.0
2024-08-09,1059205.1193700002,113272.86937000026,0,0,0.0,0.0
2024-08-12,1068798.8693700002,113272.86937000026,0,0,0.0,0.0
2024-08-13,1067799.4193700003,113272.86937000026,0,0,0.0,0.0
2024-08-14,1068404.5693700002,113272.86937000026,0,0,0.0,0.0
2024-08-15,1064984.5193700003,113272.86937000026,0,0,0.0,0.0
2024-08-16,1075693.6193700002,113272.86937000026,0,0,0.0,0.0
2024-08-19,1080294.01937,113272.86937000026,0,0,0.0,0.0
2024-08-20,1078043.5845850003,1078043.5845850003,3,2,5472.587295000092,6233.039760000014
2024-08-21,1073528.8954800002,112956.74548000033,0,0,0.0,0.0
2024-08-22,1074181.8454800004,112956.74548000033,0,0,0.0,0.0
2024-08-23,1079131.2454800003,112956.74548000033,0,0,0.0,0.0
2024-08-26,1080808.2454800003,112956.74548000033,0,0,0.0,0.0
2024-08-27,1082143.8954800004,112956.74548000033,0,0,0.0,0.0
2024-08-28,1082167.1954800002,112956.74548000033,0,0,0.0,0.0
2024-08-29,1093141.5454800003,112956.74548000033,0,0,0.0,0.0
2024-08-30,1096490.2954800003,112956.74548000033,0,0,0.0,0.0
2024-09-04,1089298.9954800003,112956.74548000033,0,0,0.0,0.0
2024-09-05,1083383.8454800004,112956.74548000033,0,0,0.0,0.0
2024-09-06,1088801.2454800003,112956.74548000033,0,0,0.0,0.0
2024-09-09,1082514.9954800003,112956.74548000033,0,0,0.0,0.0
2024-09-10,1080538.0954800004,112956.74548000033,0,0,0.0,0.0
2024-09-11,1084675.3954800004,112956.74548000033,0,0,0.0,0.0
2024-09-12,1090185.9954800003,112956.74548000033,0,0,0.0,0.0
2024-09-13,1090756.1454800004,112956.74548000033,0,0,0.0,0.0
2024-09-16,1084705.1454800004,112956.74548000033,0,0,0.0,0.0
2024-09-17,1099749.8954800004,112956.74548000033,0,0,0.0,0.0
2024-09-18,1110710.1454800004,112956.74548000033,0,0,0.0,0.0
2024-09-19,1134535.2454800003,112956.74548000033,0,0,0.0,0.0
2024-09-20,1148955.9559000004,1148955.9559000004,3,3,70912.37131500011,0.0
2024-09-23,1144144.3499350005,120398.39993500052,0,0,0.0,0.0
2024-09-24,1170428.7999350007,120398.39993500052,0,0,0.0,0.0
2024-09-25,1197369.7999350005,120398.39993500052,0,0,0.0,0.0
2024-09-26,1178588.7999350005,120398.39993500052,0,0,0.0,0.0
2024-09-27,1187686.2999350005,120398.39993500052,0,0,0.0,0.0
2024-09-30,1174043.6499350006,120398.39993500052,0,0,0.0,0.0
2024-10-01,1178200.6499350006,120398.39993500052,0,0,0.0,0.0
2024-10-02,1183801.4999350007,120398.39993500052,0,0,0.0,0.0
2024-10-03,1180622.0999350005,120398.39993500052,0,0,0.0,0.0
2024-10-04,1156180.5999350005,120398.39993500052,0,0,0.0,0.0
2024-10-07,1173766.6499350006,120398.39993500052,0,0,0.0,0.0
2024-10-08,1175502.1999350006,120398.39993500052,0,0,0.0,0.0
2024-10-09,1203945.5499350005,120398.39993500052,0,0,0.0,0.0
2024-10-10,1190224.7999350005,120398.39993500052,0,0,0.0,0.0
2024-10-11,1191420.8999350006,120398.39993500052,0,0,0.0,0.0
2024-10-14,1189617.0499350005,120398.39993500052,0,0,0.0,0.0
2024-10-15,1184783.9499350006,120398.39993500052,0,0,0.0,0.0
2024-10-16,1185250.2499350007,120398.39993500052,0,0,0.0,0.0
2024-10-17,1201471.5499350005,120398.39993500052,0,0,0.0,0.0
2024-10-18,1212693.8999350006,120398.39993500052,0,0,0.0,0.0
2024-10-21,1199371.5789250005,1199371.5789250005,3,2,51549.63009000005,1134.0070650000125
2024-10-22,1194348.9958350006,125714.29583500052,0,0,0.0,0.0
2024-10-23,1196212.1958350004,125714.29583500052,0,0,0.0,0.0
2024-10-24,1196654.2958350005,125714.29583500052,0,0,0.0,0.0
2024-10-25,1211406.1958350004,125714.29583500052,0,0,0.0,0.0
2024-10-28,1208259.6958350006,125714.29583500052,0,0,0.0,0.0
2024-10-29,1213546.0958350005,125714.29583500052,0,0,0.0,0.0
2024-10-30,1210253.0958350005,125714.29583500052,0,0,0.0,0.0
2024-10-31,1204939.5958350003,125714.29583500052,0,0,0.0,0.0
2024-11-01,1191667.0958350005,125714.29583500052,0,0,0.0,0.0
2024-11-04,1196829.2958350005,125714.29583500052,0,0,0.0,0.0
2024-11-05,1216176.4958350004,125714.29583500052,0,0,0.0,0.0
2024-11-06,1218182.2958350005,125714.29583500052,0,0,0.0,0.0
2024-11-07,1250666.8958350006,125714.29583500052,0,0,0.0,0.0
2024-11-08,1285552.2774050005,557064.2774050005,1,1,87257.01006,0.0
2024-11-11,1280826.6774050007,557064.2774050005,0,0,0.0,0.0
2024-11-12,1286191.8774050004,557064.2774050005,0,0,0.0,0.0
2024-11-13,1303894.0774050006,557064.2774050005,0,0,0.0,0.0
2024-11-14,1290956.9774050005,557064.2774050005,0,0,0.0,0.0
2024-11-15,1280787.1774050004,557064.2774050005,0,0,0.0,0.0
2024-11-18,1260818.2774050005,557064.2774050005,0,0,0.0,0.0
2024-11-19,1241928.8902950005,883752.8902950005,1,0,0.0,32091.967449999996
2024-11-20,1238972.2753350004,1238972.2753350004,1,0,0.0,15564.346200000029
2024-11-21,1233784.3410750004,129968.54107500042,0,0,0.0,0.0
2024-11-22,1240315.3410750004,129968.54107500042,0,0,0.0,0.0
2024-11-25,1251991.3410750004,129968.54107500042,0,0,0.0,0.0
2024-11-26,1228751.2374750003,499013.8374750004,1,0,0.0,13070.245200000005
2024-11-27,1235173.0374750004,499013.8374750004,0,0,0.0,0.0
2024-11-28,1247592.4374750005,499013.8374750004,0,0,0.0,0.0
2024-11-29,1258672.0374750004,499013.8374750004,0,0,0.0,0.0
2024-12-02,1268915.8374750004,499013.8374750004,0,0,0.0,0.0
2024-12-03,1291763.8374750004,499013.8374750004,0,0,0.0,0.0
2024-12-04,1314424.9374750005,499013.8374750004,0,0,0.0,0.0
2024-12-05,1286098.0374750006,499013.8374750004,0,0,0.0,0.0
2024-12-06,1291432.0374750004,499013.8374750004,0,0,0.0,0.0
2024-12-09,1307234.5374750004,499013.8374750004,0,0,0.0,0.0
2024-12-10,1292824.3374750004,499013.8374750004,0,0,0.0,0.0
2024-12-11,1289773.0374750004,499013.8374750004,0,0,0.0,0.0
2024-12-12,1271927.2374750003,499013.8374750004,0,0,0.0,0.0
2024-12-13,1283019.4374750005,499013.8374750004,0,0,0.0,0.0
2024-12-16,1275110.8374750004,499013.8374750004,0,0,0.0,0.0
2024-12-17,1288645.3374750004,499013.8374750004,0,0,0.0,0.0
2024-12-18,1286018.2374750003,499013.8374750004,0,0,0.0,0.0
2024-12-19,1283019.4374750005,499013.8374750004,0,0,0.0,0.0
2024-12-20,1290349.5962550004,1290349.5962550004,2,2,64447.56612000003,0.0
2024-12-23,1284946.3493550005,135319.3493550006,0,0,0.0,0.0
2024-12-24,1295937.1493550006,135319.3493550006,0,0,0.0,0.0
2024-12-25,1306954.9493550006,135319.3493550006,0,0,0.0,0.0
2024-12-26,1300135.3493550005,135319.3493550006,0,0,0.0,0.0
2024-12-27,1292322.1493550006,135319.3493550006,0,0,0.0,0.0
2024-12-30,1288582.3493550005,135319.3493550006,0,0,0.0,0.0
2024-12-31,1293163.3493550005,135319.3493550006,0,0,0.0,0.0
2025-01-02,1294036.9493550006,135319.3493550006,0,0,0.0,0.0
2025-01-03,1295128.9493550006,135319.3493550006,0,0,0.0,0.0
2025-01-06,1291405.3493550005,135319.3493550006,0,0,0.0,0.0
2025-01-07,1289755.9493550006,135319.3493550006,0,0,0.0,0.0
2025-01-08,1291513.9493550006,135319.3493550006,0,0,0.0,0.0
2025-01-09,1281195.1493550006,135319.3493550006,0,0,0.0,0.0
2025-01-10,1267813.3493550005,135319.3493550006,0,0,0.0,0.0
2025-01-13,1272895.9493550006,135319.3493550006,0,0,0.0,0.0
2025-01-14,1272295.3493550005,135319.3493550006,0,0,0.0,0.0
2025-01-15,1275189.1493550006,135319.3493550006,0,0,0.0,0.0
2025-01-16,1287031.9493550006,135319.3493550006,0,0,0.0,0.0
2025-01-17,1284422.5493550005,135319.3493550006,0,0,0.0,0.0
2025-01-20,1277168.7147750007,1277168.7147750007,3,1,17095.543920000084,30276.425400000007
2025-01-21,1271820.9711150008,134003.1711150008,0,0,0.0,0.0
2025-01-22,1290738.1711150007,134003.1711150008,0,0,0.0,0.0
2025-01-23,1289568.7711150008,134003.1711150008,0,0,0.0,0.0
2025-01-24,1282024.3918350008,1282024.3918350008,3,2,5947.724260000105,1092.04720000003
